ts_ms,ts_iso,run_yes_bid,run_yes_ask,run_yes_mid,run_spread_cents,run_yes_bid_qty,run_yes_ask_qty,run_tight_spread,run_wide_spread,run_untradeable,b365_state,fd_state,dk_state
1788284104264,2026-09-01T17:35:04.264000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284104465,2026-09-01T17:35:04.465000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284104666,2026-09-01T17:35:04.666000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284104866,2026-09-01T17:35:04.866000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284105067,2026-09-01T17:35:05.067000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284105268,2026-09-01T17:35:05.268000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284105469,2026-09-01T17:35:05.469000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284105670,2026-09-01T17:35:05.670000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284105870,2026-09-01T17:35:05.870000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284106072,2026-09-01T17:35:06.072000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284106272,2026-09-01T17:35:06.272000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284106473,2026-09-01T17:35:06.473000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284106674,2026-09-01T17:35:06.674000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284106875,2026-09-01T17:35:06.875000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284107076,2026-09-01T17:35:07.076000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284107277,2026-09-01T17:35:07.277000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284107477,2026-09-01T17:35:07.477000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284107678,2026-09-01T17:35:07.678000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284107879,2026-09-01T17:35:07.879000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284108079,2026-09-01T17:35:08.079000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284108280,2026-09-01T17:35:08.280000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284108481,2026-09-01T17:35:08.481000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284108682,2026-09-01T17:35:08.682000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284108883,2026-09-01T17:35:08.883000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284109084,2026-09-01T17:35:09.084000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284109285,2026-09-01T17:35:09.285000+00:00,,,,,0,0,False,False,True,UP,UP,UP
1788284109486,2026-09-01T17:35:09.486000+00:00,,,,,0,0,False,False,True,UP,UP,UP
